"","Raw.genus","Raw.species"
"6719","Crematogaster","Crematogaster ensifera"
"6720","Cataulacus","Cataulacus setosus"
"6721","Trachymyrmex","Trachymyrmex kempfi"
"6722","Hypoponera","Hypoponera villiersi"
"6723","Amblyopone","Amblyopone denticulata"
"6724","Cerapachys","Cerapachys bicolor"
"6725","Camponotus","Camponotus kelleri"
"6726","Camponotus","Camponotus gilviventris"
"6727","Camponotus","Camponotus beccarii"
"6728","Camponotus","Camponotus genatus"
"6729","Solenopsis","Solenopsis nickersoni"
"6730","Cephalotes","Cephalotes depressus"
"6731","Cephalotes","Cephalotes solidus"
"6732","Pheidole","Pheidole sculpturata"
"6733","Pheidole","Pheidole sculpturata"
"6734","Paratrechina","Paratrechina fulva"
"6735","Iridomyrmex","Iridomyrmex discors"
"6736","Formica","Formica oreas"
"6737","Camponotus","Camponotus atlantis"
"6738","Pheidole","Pheidole midas"
"6739","Parasyscia","Parasyscia peringueyi"
"6740","Pheidole","Pheidole tepuicola"
"6741","Probolomyrmex","Probolomyrmex maryatiae"
"6742","Cataglyphis","Cataglyphis pubescens"
"6743","Pheidole","Pheidole minensis"
"6744","Probolomyrmex","Probolomyrmex zahamena"
"6745","Camponotus","Camponotus micronesicus"
"6746","Camponotus","Camponotus haroi"
"6747","Pheidologeton","Pheidologeton diversus"
"6748","Rhopalomastix","Rhopalomastix robusta"
"6749","Monomorium","Monomorium personatum"
"6750","Ocymyrmex","Ocymyrmex picardi"
"6751","Sericomyrmex","Sericomyrmex scrobifer"
"6752","Sericomyrmex","Sericomyrmex lutzi"
"6753","Cardiocondyla","Cardiocondyla weserka"
"6754","Aenictus","Aenictus clavitibia"
"6755","Polyrhachis","Polyrhachis hirsuta"
"6756","Myrmelachista","Myrmelachista dalmasi"
"6757","Myrmelachista","Myrmelachista mexicana"
"6758","Technomyrmex","Technomyrmex quadricolor"
"6759","Lepisiota","Lepisiota egregia"
"6760","Lepisiota","Lepisiota frauenfeldi"
"6761","Leptogenys","Leptogenys camerunensis"
"6762","Pheidole","Pheidole bos"
"6763","Pheidole","Pheidole albidula"
"6764","Oligomyrmex","Oligomyrmex perpusillus"
"6765","Crematogaster","Crematogaster euterpe"
"6766","Dorymyrmex","Dorymyrmex baeri"
"6767","Platythyrea","Platythyrea bicuspis"
"6768","Hypoponera","Hypoponera foreli"
"6769","Pseudomyrmex","Pseudomyrmex santschii"
"6770","Pseudomyrmex","Pseudomyrmex prioris"
"6771","Cryptomyrmex",""
"6772","Camponotus","Camponotus crassisquamis"
"6773","Camponotus","Camponotus aurocinctus"
"6774","Camponotus","Camponotus sexguttatus"
"6775","Solenopsis","Solenopsis megera"
"6776","Solenopsis","Solenopsis targuia"
"6777","Solenopsis","Solenopsis nicaeensis"
"6778","Camponotus","Camponotus loweryi"
"6779","Pheidole","Pheidole fallax"
"6780","Podomyrma","Podomyrma basalis"
"6781","Pheidole","Pheidole puttemansi"
"6782","Camponotus","Camponotus orombe"
"6783","Nesomyrmex","Nesomyrmex hirtellus"
